ENJSA	Enerjisa tahsilat tarafindaki guclu gorunumle izleniyor
ENJSA	Enerjisa duzenleyici mekanizmanin katkisi ile istikrar sagliyor
XU100	BIST 100 bankacilik hisselerinin destegiyle yukseliste
EKGYO	Emlak Konut on satis gelirleriyle beklentileri asti
PGSUS	Pegasus birim gelirlerdeki toparlanmayla yaz sezonuna guclu giriyor
VAKBN	TURK?YE VAKIFLAR BANKASI T.A.O. hisseleri yükseldi.
GOOG	GOOG yeni yatırım planını duyurdu.
YKBNK	Yapi Kredi varlik yonetimi gelirlerini artirmayi hedefliyor
EREGL	Eregli Demir Celik ihracat pazarindaki toparlanmadan olumlu etkileniyor
AVGO	Broadcom Inc. bugün yatırımcıların odağında.
EKGYO	Emlak Konut konut kredisi faizlerindeki degisimi yakindan izliyor
AKBNK	Akbank'ın AI for Good Türkiye programını kazanan girişim açıklandı - Anadolu Ajansı
SILVER	How to invest in silver: A beginner's guide
US10Y	US Treasury 10 Year faizi yukarı yönlü hareket etti.
XRP	XRP odakli dava surecinde iyimserlik fiyatlamasi devam etti
AKBNK	Akbank hisseleri yükseldi.
SPX	Putting In A Stock Market Top (SP500) - Seeking Alpha
IOVA	Iovance Biotherapeutics Inc (IOVA): Jefferies Draws Attention Amtagvi Drug
XAUUSD	XAUUSD bugün yatırımcıların odağında.
ARCLK	Arcelik yeni donemde maliyet yonetimine odaklaniyor
FROTO	FORD OTOMOT?V SANAY? A.?. bilançosunu açıkladı.
SOL	SOLUSDT bugün yatırımcıların odağında.
BRENT	Brent petrol fiyatlari arz endiseleriyle yukseliyor
AKBNK	Akbank tahsilat performansindaki iyilesmeyle dikkat cekti
CSGP	Vulcan Value Partners Sold CoStar Group (CSGP) Due to Poor Capital Allocation
HIVE	HIVE Digital Technologies Ltd yeni yatırım planını duyurdu.
YKBNK	YKBNK aktif kalitesindeki dengeli seyirle izleniyor
VAKBN	VAKBN kamu destekli kredi programlariyla izleniyor
BTC	MicroStrategy’s STRC Preferred Stock Buys 10X More Bitcoin Than All ETFs in 2026 - Yahoo Finance
ASELS	ASELSAN bakiye siparis buyukluguyle analistlerin radarinda
TTKOM	Türk Telekom sabit internet abone kazanimi ile izleniyor
INTC	Intel Corporation bugün yatırımcıların odağında.
EKGYO	EKGYO yeni etap satislarindan gelen nakit akisiyla destek buldu
KCHOL	Koç Holding ford ve enerji tarafindaki gelismelerle primlendi
ENJSA	ENJSA bilançosunu açıkladı.
SISE	Şişecam enerji maliyetlerindeki normallesmeyle marjlarini destekliyor
LOGO	LOGO YAZILIM SANAY? VE T?CARET A.?. bugün yatırımcıların odağında.
TSLA	What Makes Tesla (TSLA) a Long-Term Holding?
TCELL	Turkcell veri tuketim trendlerindeki gucle gelirlerini destekliyor
COO	Porch Group COO’su Matthew Neagle 464.286 dolar değerinde hisse sattı - Investing.com Türkiye
SISE	Sisecam yeni yatırım planını duyurdu.
EREGL	Erdemir hammadde maliyetlerindeki gevsemeyle guc kazandi
BIMAS	BİM Mağazaları hisseleri yükseldi.
COPPER	Copper Wire & Cable Market by Insulation Type, Voltage Type, Installation, Application, End-use Industry, and Region - Forecast to 2032 - Yahoo Finance
YKBNK	Yapi Kredi sigorta ve emeklilik kanallarinda capraz satisi artirdi
LOGO	LOGO bulut yazilim abonelik modelinden daha yuksek gelir uretiyor
TTKOM	TTKOM fiber uzunlugundaki buyumeyle operasyonel kaldirac yakaladi
RXRX	Recursion Pharmaceuticals Inc (RXRX): Is AI Strategy Working?
TUPRS	Tüpraş planli bakim takvimine ragmen marj performansini korudu
TCELL	TCELL kurumsal veri servislerine gelen taleple guc kazandi
USDTRY	Dolar/TL paritesinde oynaklık arttı.
USDTRY	Dolar/TL kurunda kapanis oncesi yatay seyir izlendi
EKGYO	Emlak Konut yeni proje gelirlerini yatirimcilara sundu
THYAO	Turk Hava Yollari kargo operasyonlarindaki kapasite artisini surduruyor
TSLA	Tesla yeni model teslimatlarina iliskin beklentileri karsilayamadi
LOGO	Logo Yazilim bulut tabanli urunlerinin payini buyutuyor
PGSUS	Pegasus yan gelir artisi sayesinde marjlarini destekliyor
BTC	Bitcoin 78 bin doları test etti: Kripto piyasasında yükseliş rüzgarı ve yeni zirve beklentisi! - A Para
WDC	WDC hisseleri yükseldi.
SAHOL	Sabanci Holding finansal sonuclarini aciklamaya hazirlaniyor
FROTO	Ford Otosan ihracat siparis akisindaki canlanmayla izleniyor
OIL	Crude Oil (WTI) fiyatları geriledi.
COO	COO yeni yatırım planını duyurdu.
XU030	BİST 30 endeksinde hacim arttı.
ATOM	Cosmos sert yükseldi.
TUPRS	TUPRAS urun marjlarindaki dalgalanmaya ragmen izleniyor
TTKOM	TTKOM veri merkezi yatirim planini yil sonuna kadar netlestirecek
ISCTR	İşbank yeşil finansman projelerine ayirdigi kaynagi buyuttu
EURTRY	EUR/TRY bugün yatırımcıların odağında.
ADSK	ADSK bugün yatırımcıların odağında.
ASELS	ASELS yurtiçi savunma siparislerinde yeni teslim takvimi acikladi
AFRM	Here’s What Baird Thinks About ​Affirm Holdings (AFRM)
GARAN	GARAN net faiz marjindaki toparlanmayla one cikti
NVDA	Here’s Nightview Fund’s Views on NVIDIA (NVDA)
AKBNK	AKBNK kredi karti harcamalarindaki ivmeyle destek buldu
THYAO	TURK HAVA YOLLARI A.O. hisseleri yükseldi.
KCHOL	Koc Holding istiraklerinden gelen temettu akisiyle destek buldu
SISE	SISE duzcam talebindeki toparlanmayla sanayi hisseleri arasinda ayristi
AKBNK	Akbank mobil uygulama kullaniminda yeni rekor acikladi
XU100	XU100 banka ve holding hisseleriyle gunu arti kapatti
GARAN	GARAN ticari kredilerdeki buyumeyle sektorunden olumlu ayristi
CENX	CENX hisseleri yükseldi.
EKGYO	Emlak Konut proje teslim takvimiyle yatirimcilarin radarinda
USDTRY	Dolar/TL kurunda sinirli yukselis suruyor
MELI	MELI bilançosunu açıkladı.
SAHOL	Sabanci Holding yeni donemde operasyonel verimlilige odaklaniyor
SHOP	Can Shopify Inc. (SHOP) Double in the Next 5 Years?
VAKBN	Vakıfbank tahsilat performansindaki toparlanmayla guc kazandi
SAHOL	Sabancı yeni yatırım planını duyurdu.
EREGL	EREGL ihracat siparislerinin toparlanmasi ile one cikiyor
SISE	Sisecam soda kulunde yeni kapasite artisini degerlendiriyor
PGSUS	Pegasus Hava Yolları bugün yatırımcıların odağında.
ASELS	Aselsan elektro optik sistemlerde yeni ihracat firsati yakaladi
MGROS	Migros depo otomasyonu yatirimlarini surduruyor
SPX	Should You Buy the Vanguard S&P 500 ETF With the Stock Market At a Fresh Record High? The Answer Might Surprise You. - The Motley Fool
NVDA	Nvidia Is Hovering Around $200. What Can ‘Move the Needle’ for the Stock.
ISCTR	ISCTR mevduat tabanindaki gucunu koruyarak izleniyor
ARCLK	ARCLK bugün yatırımcıların odağında.
GARAN	Garanti Bankası bilançosunu açıkladı.
TTKOM	TTKOM mobil ve sabit taraftaki capraz satisi artirdi
THYAO	Turk Hava Yollari uzun menzilli hat kapasitesini artirmayi planliyor
BIMAS	BIMAS operasyonel disiplinini koruyarak marj baskisini sinirliyor
AEHR	Aehr Test Systems bugün yatırımcıların odağında.
UPST	UPST hisseleri yükseldi.
ENJSA	ENJSA duzenlenmis getiri mekanizmasiyla nakit akisini destekliyor
ARCLK	ARCLK Avrupa talebindeki toparlanma beklentileriyle destek buluyor
PGSUS	PGSUS filo kullanim verimliligini yeni sezonda artiriyor
LITE	​Lumentum Holdings (LITE) Sold Out Through 2027 on High Demand
NETAS	Netaş yurt ici ag altyapi projelerinde yeni ihaleleri takip ediyor
PLTK	Playtika Holding Corp. bugün yatırımcıların odağında.
NVDA	NVDA bugün yatırımcıların odağında.
BRENT	Brent petrol arz yonlu endiselerle yuksek seviyelerde kaldi
BIMAS	BİM indirim market segmentinde yeni magaza acilislarini surduruyor
SAHOL	SAHOL yatirim harcamalarini nakit yaratma kapasitesine gore yonetiyor
MGROS	MGROS yeni depo otomasyonu yatirimiyla verimlilik hedefliyor
TXN	Is Texas (TXN) stock forming a squeeze pattern | Texas Posts 2.8% EPS Miss On Sluggish Chip Demand - Downside Surprise - Cổng thông tin điện tử Tỉnh Sơn La
XBANK	XBANK endeksinde hacim arttı.
NRC	Neo Portfoy Birinci Degisken Fon bugün yatırımcıların odağında.
NDX	Nasdaq 100 yapay zeka hisseleri onculugunde yeni zirveye yaklasti
TUPRS	TUPRS urun marjlarindaki normallesmeye ragmen guclu operasyonel gorunumunu koruyor
XAGUSD	Silver Spot bugün yatırımcıların odağında.
LOGO	LOGO tekrarlayan gelir payindaki artisla one cikiyor
TSLA	Tesla Earnings, Elon Musk Due With Stock Near Key Levels; What To Expect
BRENT	Brent fiyatları yükselişe geçti.
XU100	CANLI BORSA | Borsa yükselişle başladı: 22 Nisan 2026 Çarşamba BIST 100 endeksi - Finans haberlerinin doğru adresi - Mynet Finans Haber - Mynet Finans
NFLX	Netflix (NFLX): The Best Beginner Stock to Buy Right Now - Yahoo Finance
THYAO	THY uzun menzilli filo planlamasinda yeni adimlar atiyor
ASELS	ASELSAN ELEKTRON?K SANAY? VE T?CARET A.?. bugün yatırımcıların odağında.
BTC	Bitcoin opsiyon piyasasinda risk istahi yukseliyor
GRAB	GRAB bugün yatırımcıların odağında.
NETAS	NETAS savunma ve kamu tarafindaki projelerden gelir bekliyor
SPX	S&P 500 endeksi banka bilancolari sonrasi karisik seyretti
ASELS	Aselsan ihracat odakli siparis akisini korumaya devam ediyor
GARAN	Garanti BBVA komisyon gelirlerindeki artisla one cikiyor
BTMD	BTMD yeni yatırım planını duyurdu.
ISCTR	Is Bankasi istirak portfoyunden gelen katkilarla one cikti
AKBNK	Akbank sendikasyon kredisine yuksek talep geldigini duyurdu
GARAN	Garanti BBVA dijital musteri sayisinda yeni esige yaklasti
THYAO	THY kargo gelirlerindeki toparlanma ile ikinci ceyrege guclu giris yapti
SAHOL	SAHOL enerji dagitim ve sigorta tarafiyla one cikti
ISCTR	ISCTR sermaye yeterliligindeki guclu gorunumunu koruyor
EREGL	Ereğli bilançosunu açıkladı.
KCHOL	Koç bilançosunu açıkladı.
AKBNK	Akbank net ucret komisyon gelirlerinde guclu buyume yakaladi
GARAN	Garanti Bankasi aktif kalitesindeki dengeli gorunumle izleniyor
GOOG	Google bulut gelirlerindeki ivmeyle gunu arti kapatti
TUPRS	TUPRS urun spreadlerindeki toparlanmadan yararlanmaya devam ediyor
SPX	US Stock Market Today S&P 500 Futures Edge Higher On Softer Inflation Signals - Yahoo Finance
NETAS	Netaş ag altyapi tarafindaki yeni ihalelerle izlendi
SISE	SISE Avrupa pazarindaki siparis akisini guclendirdi
NETAS	Netaş kamu projeleriyle yeni donemde gelir artisi hedefliyor
TCELL	Turkcell superonline tarafinda yeni abone kazanimi sagladi
AXON	AXON hisseleri yükseldi.
FROTO	FROTO elektrikli arac uretim planlariyla sektorunde one cikiyor
SAHOL	Sabanci Holding sigorta ve sanayi tarafindaki cesitlilikle one cikti
SPX	Stock market today: Dow, S&P 500, Nasdaq futures rise after Trump extends US-Iran ceasefire
SISE	Sisecam duzcam talebindeki canlanmayi izliyor
EREGL	EREGL slab ve yassi celik tarafindaki fiyatlamayi yakindan takip ediyor
BTC	Bitcoin ETF girisleri sonrasi 70 bin dolar sinirina yaklasti
GOOG	Give your laptop a new life with ChromeOS Flex - blog.google
TUPRS	Tüpraş rafineri marjlarindaki oynakligi stok yonetimiyle dengeliyor
NETAS	Netaş sistem entegrasyonu kabiliyetleriyle yeni sozlesmelere odaklandi
SUGAR	Sugar fiyatları yükselişe geçti.
AIOS	AIOS Tech Inc. hisseleri yükseldi.
EREGL	EREGL ihracat siparislerindeki toparlanmayla one cikti
MSFT	Microsoft yapay zeka yatirimlariyla Nasdaq tarafinda dikkat cekti
BTC	Bitcoin jumps to $78,000 as Trump extends Iran ceasefire - Yahoo Finance
NETAS	NETAS kamu projelerindeki siparis birikimiyle destek buldu
BTC	Cathie Wood: The Days of Big Crashes in Bitcoin Are Over
EREGL	Eregli Demir Celik ic piyasadaki talep canlanmasini olumlu karsiladi
MGROS	Migros musteri sadakat programi sayesinde trafik artisi sagladi
SPX	S&P 500 günü yükselişle tamamladı.
KCHOL	Koç Holding enerji ve otomotiv portfoyuyle izlendi
TUPRS	TUPRAS rafineri marjlarindaki guclenmeyle one cikti
TUPRS	Tüpraş planli bakim sonrasinda kapasite kullanimini artirmayi hedefliyor
VAKBN	VAKBN kredi buyumesindeki ivmeyi korumayi planliyor
F_XU030	VIOP 30 kontratlarinda acilis sonrasi hacim artti
LINK	Interlink Electronics, Inc. hisseleri yükseldi.
KCHOL	Koç Holding otomotiv ve dayanikli tuketim tarafinda dengeli gorunum sergiliyor
PGSUS	PGSUS yaz sezonunda doluluk oranlarini yukari cekmeyi hedefliyor
THYAO	THY yolcu doluluk oraninda mart ayinda guclu performans sergiledi
ENJSA	Enerjisa dagitim tarafindaki yatirim harcamalarini optimize ediyor
ASELS	ASELS bakiye siparis buyukluguyle sektorde one cikiyor
TTKOM	TÜRK TELEKOMÜN?KASYON A.?. hisseleri yükseldi.
