provider,locale,category,publishedAt,title,link,sourceName,language,description
google,en,finance,2026-04-22T13:00:00Z,"ICIMS Awarded for AI, Enterprise Scale and Labor Market Intelligence - PR Newswire",https://news.google.com/rss/articles/CBMiwAFBVV95cUxPVGZDQ1dwbG9vNUxVeFM0N1VKNXRQZXBKYktZbWZUc2FURWZlMlVEWVBGaElBMzRvVVpRRVJhUTdkRTItVjNMdDB6bHFsMWJteGVtZ0xoOVF5RlZXelhzRFlMN0FpbDktMlpWZUY4c2FTUGxxdXJDemRKckxULUtBMEk2R0ZaaWRteDhnNU1kZnNBQmVKSi1ITE9VamtVNlcwT3Jma2FnTXVqRGR1TlZPLVZuZWlReTdIakdnMXVha1I?oc=5,PR Newswire,en,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxPVGZDQ1dwbG9vNUxVeFM0N1VKNXRQZXBKYktZbWZUc2FURWZlMlVEWVBGaElBMzRvVVpRRVJhUTdkRTItVjNMdDB6bHFsMWJteGVtZ0xoOVF5RlZXelhzRFlMN0FpbDktMlpWZUY4c2FTUGxxdXJDemRKckxULUtBMEk2R0ZaaWRteDhnNU1kZnNBQmVKSi1ITE9VamtVNlcwT3Jma2FnTXVqRGR1TlZPLVZuZWlReTdIakdnMXVha1I?oc=5"" target=""_blank"">ICIMS Awarded for AI, Enterprise Scale and Labor Market Intelligence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>"
google,en,finance,2026-04-22T13:00:00Z,"Prophix® Launches Next Wave of Prophix One™ Agents, Defining the Delegation Era for Finance - PR Newswire",https://news.google.com/rss/articles/CBMi3AFBVV95cUxNTTMzbm1hQ3RFTERTejF6NmFkNnMwYmpTdGZTeXc1ZVZDaVdRNDZCOHFjY3NXT19yX1EtZ0taVVdYa2p3OUpGYjN6anhLcjAzUmhHS3hjeWRoTWhsY09EN2h3U29CblUya1hBUTdIb2g4VXFRMXJNQ2xzeXdmMU1UMnlCcU95cEpiMUZlcG5CeUpFaFp6V193MFo1Q2p3WFpKQXRaNUJvRUIxeHRyRzNXRFlWSnBsT2dIdndJRTVGWGJncnRNak13RzZzc3JJanRNRmVDbjJFQ0xZaWo5?oc=5,PR Newswire,en,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNTTMzbm1hQ3RFTERTejF6NmFkNnMwYmpTdGZTeXc1ZVZDaVdRNDZCOHFjY3NXT19yX1EtZ0taVVdYa2p3OUpGYjN6anhLcjAzUmhHS3hjeWRoTWhsY09EN2h3U29CblUya1hBUTdIb2g4VXFRMXJNQ2xzeXdmMU1UMnlCcU95cEpiMUZlcG5CeUpFaFp6V193MFo1Q2p3WFpKQXRaNUJvRUIxeHRyRzNXRFlWSnBsT2dIdndJRTVGWGJncnRNak13RzZzc3JJanRNRmVDbjJFQ0xZaWo5?oc=5"" target=""_blank"">Prophix® Launches Next Wave of Prophix One™ Agents, Defining the Delegation Era for Finance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>"
yahoo,en,finance,2026-04-22T12:59:49Z,Stock Market Today: Dow Rises On Trump Ceasefire; Tesla Earnings Due (Live Coverage),https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-trump-iran-tesla-earnings-tsla-stock/?src=A00220&yptr=yahoo,Investor's Business Daily,en,
yahoo,en,finance,2026-04-22T12:59:10Z,Should You Be Bullish on ServiceNow (NOW)?,https://finance.yahoo.com/markets/stocks/articles/bullish-servicenow-now-125910851.html,Insider Monkey,unknown,
yahoo,en,finance,2026-04-22T12:58:00Z,"Forget Memory, Power Chips Are the Next Hot AI Play. These 6 Stocks Are Surging.",https://www.barrons.com/articles/navitas-stock-vicor-power-chips-memory-505c6d2b?siteid=yhoof2&yptr=yahoo,Barrons.com,en,
yahoo,en,finance,2026-04-22T12:56:00Z,Graphene Manufacturing Group appoints former Rio Tinto executive to drive production growth,https://finance.yahoo.com/sectors/technology/articles/graphene-manufacturing-group-appoints-former-125600368.html,Proactive,unknown,
google,en,finance,2026-04-22T12:53:00Z,"New York sues Coinbase and Gemini, seeking to halt unlicensed prediction market businesses - WCAX",https://news.google.com/rss/articles/CBMitgFBVV95cUxNR3VRSzZ2cGJhRVQ3d095Z01icXM4TkpMQU9lcFY5ejAxZWc4LXdCdmVOWGpSdXB1Vm5ONmhPdHBoWUVCNnlnbUFuV0ZQTDYyU0x1TVBSa3pvXzIwUkx5YXJmZWcwMlUtUXdhSkFFNTZmeURWUElRQzZIbDlrSi1lUWFsNVRUMk43a0ZpTl9iYllyczRpazZUWGtBaXdjcnlNNUR0VS1HQUdYSVdkMTdCd0YzdGI3dw?oc=5,WCAX,en,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNR3VRSzZ2cGJhRVQ3d095Z01icXM4TkpMQU9lcFY5ejAxZWc4LXdCdmVOWGpSdXB1Vm5ONmhPdHBoWUVCNnlnbUFuV0ZQTDYyU0x1TVBSa3pvXzIwUkx5YXJmZWcwMlUtUXdhSkFFNTZmeURWUElRQzZIbDlrSi1lUWFsNVRUMk43a0ZpTl9iYllyczRpazZUWGtBaXdjcnlNNUR0VS1HQUdYSVdkMTdCd0YzdGI3dw?oc=5"" target=""_blank"">New York sues Coinbase and Gemini, seeking to halt unlicensed prediction market businesses</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WCAX</font>"
yahoo,en,finance,2026-04-22T12:51:30Z,Boston Scientific Slashes Guidance; Why Shares Rallied,https://www.investors.com/news/technology/boston-scientific-stock-boston-scientific-earnings-q1-2026/?src=A00220&yptr=yahoo,Investor's Business Daily,en,
yahoo,en,finance,2026-04-22T12:51:12Z,"DTEK Will Build $1.4-Billion, 650-MW Wind Farm in Ukraine",https://finance.yahoo.com/sectors/energy/articles/dtek-build-1-4-billion-125112289.html,POWER Magazine,unknown,
yahoo,en,finance,2026-04-22T12:51:00Z,Justin Sun Sues Trump-Backed World Liberty Financial Over $75 Million Token Freeze,https://finance.yahoo.com/markets/crypto/articles/justin-sun-sues-trump-backed-125100912.html,CryptoProwl,unknown,
yahoo,en,finance,2026-04-22T12:51:00Z,Why Coinbase and Robinhood Are Among the S&P 500’s Biggest Risers Today,https://www.barrons.com/articles/coinbase-robinhood-strategy-stocks-s-p-500-2677de53?siteid=yhoof2&yptr=yahoo,Barrons.com,unknown,
google,tr,finance,2026-04-22T12:50:45Z,"Kraken, 2025 yılı için 56 milyon kripto vergi formu sundu. Üçte biri 1$'ın altındaydı - CoinDesk",https://news.google.com/rss/articles/CBMivgFBVV95cUxNNlJJX1RxWkk2ejA5ZkhhVzdsejk4ZEROWWs2RXFGZHJGck9tZUxiS1gta0JuWGVzTmc3ZWw1Zm5YRWlucVhjNEtOREZUdU9rYTJvN2pJeFdpQWxvcDdvZF9BWWF6Sk5pMF9RX2tlWElYeE9PeGk1LWpnTjNsU0NGQTBya1p5RVBMa0pGVWNmLVI4dTVPWENMdkpoVXU5TVZTWE9wcXRUVEp4aFczTjcycTlKS3JtQ09nN0hhRldR?oc=5,CoinDesk,tr,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNNlJJX1RxWkk2ejA5ZkhhVzdsejk4ZEROWWs2RXFGZHJGck9tZUxiS1gta0JuWGVzTmc3ZWw1Zm5YRWlucVhjNEtOREZUdU9rYTJvN2pJeFdpQWxvcDdvZF9BWWF6Sk5pMF9RX2tlWElYeE9PeGk1LWpnTjNsU0NGQTBya1p5RVBMa0pGVWNmLVI4dTVPWENMdkpoVXU5TVZTWE9wcXRUVEp4aFczTjcycTlKS3JtQ09nN0hhRldR?oc=5"" target=""_blank"">Kraken, 2025 yılı için 56 milyon kripto vergi formu sundu. Üçte biri 1$'ın altındaydı</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CoinDesk</font>"
yahoo,en,finance,2026-04-22T12:50:36Z,One Elon Musk superpower to remember on Tesla earnings day,https://finance.yahoo.com/news/one-elon-musk-superpower-to-remember-on-tesla-earnings-day-125036490.html,Yahoo Finance,en,
yahoo,en,finance,2026-04-22T12:49:00Z,Trump Media CEO Exits Suddenly. Why the Stock Plunged 63% in a Year.,https://www.barrons.com/articles/trump-media-ceo-djt-truth-social-988cb6d7?siteid=yhoof2&yptr=yahoo,Barrons.com,en,
yahoo,en,finance,2026-04-22T12:49:00Z,"‘Can I have some, please?’: Trump jokes as he signs psychedelics order after Joe Rogan push. These stocks soar",https://finance.yahoo.com/markets/stocks/articles/please-trump-jokes-signs-psychedelics-124900986.html,Moneywise,en,
google,en,finance,2026-04-22T12:48:48Z,Big Markets: Supercharge Your Finance Promo Products Sales in 2026 - asicentral.com,https://news.google.com/rss/articles/CBMigwFBVV95cUxNNlVycVZwNC1kLXFaeDVaeXdrYnFyekhtUi1Za20tUFRqUHRrUnpmYlozOTJPemNRYnllN0w3YUVfMFc4RUF2ZmtLNnF2MjRUVUdFcWJvUDlxZzN5S0J4OTFoX3JQZXBTdU9NR3Y3Qy1jRFRDam5fWG1tZ3E1TE9ZamZTOA?oc=5,asicentral.com,en,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxNNlVycVZwNC1kLXFaeDVaeXdrYnFyekhtUi1Za20tUFRqUHRrUnpmYlozOTJPemNRYnllN0w3YUVfMFc4RUF2ZmtLNnF2MjRUVUdFcWJvUDlxZzN5S0J4OTFoX3JQZXBTdU9NR3Y3Qy1jRFRDam5fWG1tZ3E1TE9ZamZTOA?oc=5"" target=""_blank"">Big Markets: Supercharge Your Finance Promo Products Sales in 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">asicentral.com</font>"
yahoo,en,finance,2026-04-22T12:46:00Z,Cathie Wood: The Days of Big Crashes in Bitcoin Are Over,https://finance.yahoo.com/markets/crypto/articles/cathie-wood-days-big-crashes-124600630.html,CryptoProwl,unknown,
google,en,finance,2026-04-22T12:44:40Z,"The Pre-Market Rundown 2: April 22, 2026 - CNBC",https://news.google.com/rss/articles/CBMiiAFBVV95cUxNN1EwTU1FdC1fdUY0Qk8xN25VZVYzNGY5V3VsYVpTMFRveGRzbGJuMGxoOENHSU9EbWtaQzJFVG5fdnp4UzJ2a1lkUVJtdzhsSmpxc3JqR3dfMGZMSkpLRE1kUlpUVl85WmtyZnZ3Y1RSUkdqY1h6M21QbHZzcEowZVA2UlNBSkFI?oc=5,CNBC,en,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNN1EwTU1FdC1fdUY0Qk8xN25VZVYzNGY5V3VsYVpTMFRveGRzbGJuMGxoOENHSU9EbWtaQzJFVG5fdnp4UzJ2a1lkUVJtdzhsSmpxc3JqR3dfMGZMSkpLRE1kUlpUVl85WmtyZnZ3Y1RSUkdqY1h6M21QbHZzcEowZVA2UlNBSkFI?oc=5"" target=""_blank"">The Pre-Market Rundown 2: April 22, 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>"
yahoo,en,finance,2026-04-22T12:43:41Z,Autodesk (ADSK) Strengthened from Its Transition to a Subscription-Based Cloud Platform,https://finance.yahoo.com/markets/stocks/articles/autodesk-adsk-strengthened-transition-subscription-124341419.html,Insider Monkey,en,
yahoo,en,finance,2026-04-22T12:39:46Z,Here’s Nightview Fund’s Views on NVIDIA (NVDA),https://finance.yahoo.com/markets/stocks/articles/nightview-fund-views-nvidia-nvda-123946393.html,Insider Monkey,unknown,
google,tr,finance,2026-04-22T12:36:59Z,"Lifezone Metals hisse başına 4,40 dolardan 25 milyon dolar topladı Yazar Investing.com - Investing.com Türkiye",https://news.google.com/rss/articles/CBMiuwFBVV95cUxQNUluT0ZJOWoydHk0SHFwaVp6YW1FdGY2X0hubHNjalREVlB5WHRiX1R0OHZiLWJhTFBZaTlNbTlMbWprYnFMZXlxbGhCbVljNzFxQ045ME5mbmtXRHpNcFlEUk9IXzNSZTVUVUZqQWZVS3dMcEI0LWdKQXFnc0tLdTV1dDBPc2doVmtla05kaVE2ZWlZYjR3cEFOamg1dGVHTVJLemZyV3M2SnVYZGhsTG9zTjZndzV1U1NF?oc=5,Investing.com Türkiye,tr,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxQNUluT0ZJOWoydHk0SHFwaVp6YW1FdGY2X0hubHNjalREVlB5WHRiX1R0OHZiLWJhTFBZaTlNbTlMbWprYnFMZXlxbGhCbVljNzFxQ045ME5mbmtXRHpNcFlEUk9IXzNSZTVUVUZqQWZVS3dMcEI0LWdKQXFnc0tLdTV1dDBPc2doVmtla05kaVE2ZWlZYjR3cEFOamg1dGVHTVJLemZyV3M2SnVYZGhsTG9zTjZndzV1U1NF?oc=5"" target=""_blank"">Lifezone Metals hisse başına 4,40 dolardan 25 milyon dolar topladı Yazar Investing.com</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Investing.com Türkiye</font>"
yahoo,en,finance,2026-04-22T12:35:00Z,Gnosis Freight adds Walmart veteran Gary Adams to its board,https://finance.yahoo.com/sectors/technology/articles/gnosis-freight-adds-walmart-veteran-123500260.html,FreightWaves,unknown,
google,tr,finance,2026-04-22T12:31:57Z,Boğaziçi Üniversitesi ve Cumhurbaşkanlığı Yatırım ve Finans Ofisi'nden Stratejik İşbirliği - haberler.bogazici.edu.tr,https://news.google.com/rss/articles/CBMipAFBVV95cUxNczZnTzJMdHRqNzNzQzhZeDBmaWRvR3pOZklUSDB0bUxQaVA3OVVWa2NMc0ZpeEI2ZzBLdTRvVkJBcWFTTHZ5LV9BbXJGdU9janp1OWhnMm1QWHpuNndDYldLSjlhc3prSEtnZDBHLXFlVEdEWnZEamQzMXpldG1zdThTazI4a0REWmk5OUE0Vy02akF6Uml2LUJVN2l0OHVQNnRuZw?oc=5,haberler.bogazici.edu.tr,tr,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxNczZnTzJMdHRqNzNzQzhZeDBmaWRvR3pOZklUSDB0bUxQaVA3OVVWa2NMc0ZpeEI2ZzBLdTRvVkJBcWFTTHZ5LV9BbXJGdU9janp1OWhnMm1QWHpuNndDYldLSjlhc3prSEtnZDBHLXFlVEdEWnZEamQzMXpldG1zdThTazI4a0REWmk5OUE0Vy02akF6Uml2LUJVN2l0OHVQNnRuZw?oc=5"" target=""_blank"">Boğaziçi Üniversitesi ve Cumhurbaşkanlığı Yatırım ve Finans Ofisi'nden Stratejik İşbirliği</a>&nbsp;&nbsp;<font color=""#6f6f6f"">haberler.bogazici.edu.tr</font>"
google,en,finance,2026-04-22T12:30:00Z,Outlook Therapeutics Announces $5.0 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules - Yahoo Finance,https://news.google.com/rss/articles/CBMipgFBVV95cUxNT21mN1Y4VUl3U0tpQXNlMjZSQjdrNzN0dE9yYkREY0NzTjhQU2RsajFhbW5FcGhjQ19qSGwxOHFjcnNTVDYxeThoWXFfeTRsd2htcWhOM1JyOFF0WTlKcExlT2JDWm1pLUN5R3pQMHpscmtPanFSdDhxRFJYUmtGb3dpdEUtU1BabFl4enVqMWxjZnNpRUFHRFk0Q1Vta2xVVVJHdlZn?oc=5,Yahoo Finance,en,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNT21mN1Y4VUl3U0tpQXNlMjZSQjdrNzN0dE9yYkREY0NzTjhQU2RsajFhbW5FcGhjQ19qSGwxOHFjcnNTVDYxeThoWXFfeTRsd2htcWhOM1JyOFF0WTlKcExlT2JDWm1pLUN5R3pQMHpscmtPanFSdDhxRFJYUmtGb3dpdEUtU1BabFl4enVqMWxjZnNpRUFHRFk0Q1Vta2xVVVJHdlZn?oc=5"" target=""_blank"">Outlook Therapeutics Announces $5.0 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>"
google,tr,finance,2026-04-22T12:29:26Z,Yatırımcılar ABD hisse senetlerinde düşüşe mi geçiyor? BofA çıkışlara dikkat çekti - Investing.com Türkiye,https://news.google.com/rss/articles/CBMizAFBVV95cUxQaHhzUTRUenFFV3lZU1BMZUNsV1Fja2tJNGNpNXRBODR2Q0l2QzZqYUxGOC1aM04waXowMmxYaDljZHlHMG9EV2RDeVZoVHZzWFNTQ2lDM1BfaGhBbEtSY281bW1fT3JzUXNnMlM5Y21kY0R2VERBckd5cEVpUU5abGtJWE9TX1J6dmNKSEdWRURqVnBCeXU3SzFudm9oSDh6MGRENl91S2FIMi1MWURzMW9QVkc3SjRrS1VhUEZNdzBYX0RUb2pqZHVfR00?oc=5,Investing.com Türkiye,tr,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQaHhzUTRUenFFV3lZU1BMZUNsV1Fja2tJNGNpNXRBODR2Q0l2QzZqYUxGOC1aM04waXowMmxYaDljZHlHMG9EV2RDeVZoVHZzWFNTQ2lDM1BfaGhBbEtSY281bW1fT3JzUXNnMlM5Y21kY0R2VERBckd5cEVpUU5abGtJWE9TX1J6dmNKSEdWRURqVnBCeXU3SzFudm9oSDh6MGRENl91S2FIMi1MWURzMW9QVkc3SjRrS1VhUEZNdzBYX0RUb2pqZHVfR00?oc=5"" target=""_blank"">Yatırımcılar ABD hisse senetlerinde düşüşe mi geçiyor? BofA çıkışlara dikkat çekti</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Investing.com Türkiye</font>"
yahoo,en,finance,2026-04-22T12:28:08Z,What Makes Tesla (TSLA) a Long-Term Holding?,https://finance.yahoo.com/markets/stocks/articles/makes-tesla-tsla-long-term-122808517.html,Insider Monkey,unknown,
google,en,finance,2026-04-22T12:27:00Z,This Niche E‑Commerce Stock Has Been Cut in Half Since 2023 -- Here's Why It's About to Go Parabolic - Yahoo Finance,https://news.google.com/rss/articles/CBMilgFBVV95cUxOR1UxLXExVmxlUG1zRTlrR0tiZFMwMmFySTkwSGVNOU5NbnFjOXVvTncyUmZLYl9QQmcxRWxYVTRUNDJBR2xaZFFfeUNNVjNKTTVxUmN3UVlYNGhmUVhjZXV5VFR3eWU3QkI1clRmWWxWUkhiTEkyOFVpUVhpWWhIV25hNmxwMjI4eG1HY1ZRMFljUkxLd2c?oc=5,Yahoo Finance,en,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxOR1UxLXExVmxlUG1zRTlrR0tiZFMwMmFySTkwSGVNOU5NbnFjOXVvTncyUmZLYl9QQmcxRWxYVTRUNDJBR2xaZFFfeUNNVjNKTTVxUmN3UVlYNGhmUVhjZXV5VFR3eWU3QkI1clRmWWxWUkhiTEkyOFVpUVhpWWhIV25hNmxwMjI4eG1HY1ZRMFljUkxLd2c?oc=5"" target=""_blank"">This Niche E‑Commerce Stock Has Been Cut in Half Since 2023 -- Here's Why It's About to Go Parabolic</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>"
google,tr,finance,2026-04-22T12:25:44Z,"Kuzey Kore destekli hackerlar, kripto yöneticilerini ve firmalarını hedef alan yeni saldırı vektörünü duyurdu - CoinDesk",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQYTM4QjR2ZDZudGx6TTVkMmtWZGxxc29tUDE4M1VMMEY2NUtYRGpyVExlSHZZY28zRmFXcWRXSy05Nmc4c2gyODFMX05qZ3RsbFRqcFpNdkIzMGpfeVAyU1pXejk2S2VETDNDMEMwU1pIOHR6aWtyblcwV2tCV3NkTkFVbGFrMEM5VENWVzJWekY3aElFZi1VNlRJVlN0MkdBR05YX2pYUjBrcFQxeEhVSzAxZVVQRVhGNEd3MWZoV0o?oc=5,CoinDesk,tr,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQYTM4QjR2ZDZudGx6TTVkMmtWZGxxc29tUDE4M1VMMEY2NUtYRGpyVExlSHZZY28zRmFXcWRXSy05Nmc4c2gyODFMX05qZ3RsbFRqcFpNdkIzMGpfeVAyU1pXejk2S2VETDNDMEMwU1pIOHR6aWtyblcwV2tCV3NkTkFVbGFrMEM5VENWVzJWekY3aElFZi1VNlRJVlN0MkdBR05YX2pYUjBrcFQxeEhVSzAxZVVQRVhGNEd3MWZoV0o?oc=5"" target=""_blank"">Kuzey Kore destekli hackerlar, kripto yöneticilerini ve firmalarını hedef alan yeni saldırı vektörünü duyurdu</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CoinDesk</font>"
google,en,finance,2026-04-22T12:24:01Z,Evernorth fund will help finance three housing developments in Maine - Mainebiz,https://news.google.com/rss/articles/CBMinwFBVV95cUxQNnp5Rm1WeVVGVVJDNktPZ0xQeTNBN2dFX1ExN1R6SDBCSE84VmxLbEJ0NzdLTjN1T2M3dFlNN1ZDM292bk1mMVZQeEM0MU1kOW5WcVM2SlFLY0dLZjNwWl9xbWREcDJxSW5WeTBWT25MczM3NTlaQ3prM2ZwVlRMR01jTHl0dE84NGxhMXlqLWxIOEQ5bUxuMGlPQjM1cVk?oc=5,Mainebiz,en,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQNnp5Rm1WeVVGVVJDNktPZ0xQeTNBN2dFX1ExN1R6SDBCSE84VmxLbEJ0NzdLTjN1T2M3dFlNN1ZDM292bk1mMVZQeEM0MU1kOW5WcVM2SlFLY0dLZjNwWl9xbWREcDJxSW5WeTBWT25MczM3NTlaQ3prM2ZwVlRMR01jTHl0dE84NGxhMXlqLWxIOEQ5bUxuMGlPQjM1cVk?oc=5"" target=""_blank"">Evernorth fund will help finance three housing developments in Maine</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mainebiz</font>"
google,en,finance,2026-04-22T12:23:59Z,KKR Is Still a Buy: Why the Market Undervalues the New KKR - The Villanovan,https://news.google.com/rss/articles/CBMimwFBVV95cUxNbl9CNWRGakVTUzBPemh0U3lKRGVCZTBIZk8wdU1VMjFtYzByNC01M0VENmM0ZEpMLWlNdDA5N1IyY0syalZkTWNVaTJNckg2VDM1RXZOeWNQV0wxdGRXVndLbUhaTFlPYV9iOXR1Ym9kck9NMDVCRmhDLTVpbjZOM2dFeGYwaWxBMlJYOG0xSFpwUkVwaW0zRWJxZw?oc=5,The Villanovan,en,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxNbl9CNWRGakVTUzBPemh0U3lKRGVCZTBIZk8wdU1VMjFtYzByNC01M0VENmM0ZEpMLWlNdDA5N1IyY0syalZkTWNVaTJNckg2VDM1RXZOeWNQV0wxdGRXVndLbUhaTFlPYV9iOXR1Ym9kck9NMDVCRmhDLTVpbjZOM2dFeGYwaWxBMlJYOG0xSFpwUkVwaW0zRWJxZw?oc=5"" target=""_blank"">KKR Is Still a Buy: Why the Market Undervalues the New KKR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Villanovan</font>"
